lower_h,lower_s,lower_v,upper_h,upper_s,upper_v,avg_iou
7,177,147,28,250,250,0.17633490739476387
7,177,147,28,250,251,0.17896673175741132
7,177,147,28,250,252,0.18303929747381265
7,177,147,28,250,253,0.19308000365965639
7,177,147,28,250,254,0.19487534337246468
7,177,147,28,250,255,0.21995099143144287
7,177,147,28,250,256,0.21995099143144287
7,177,147,28,251,250,0.2384965907087196
7,177,147,28,251,251,0.24154522110967364
7,177,147,28,251,252,0.25239651277830577
7,177,147,28,251,253,0.2737000947684426
7,177,147,28,251,254,0.27801733064295414
7,177,147,28,251,255,0.3415509853657411
7,177,147,28,251,256,0.3415509853657411
7,177,147,28,252,250,0.3207500947167049
7,177,147,28,252,251,0.32786744004387985
7,177,147,28,252,252,0.3922636303320002
7,177,147,28,252,253,0.40706141973686216
7,177,147,28,252,254,0.41825149735214806
7,177,147,28,252,255,0.516502400359408
7,177,147,28,252,256,0.516502400359408
7,177,147,28,253,250,0.35614393850541204
7,177,147,28,253,251,0.40231733108185497
7,177,147,28,253,252,0.4275761899859526
7,177,147,28,253,253,0.45173382774743603
7,177,147,28,253,254,0.4603097281876044
7,177,147,28,253,255,0.5895587756596048
7,177,147,28,253,256,0.5895587756596048
7,177,147,28,254,250,0.43572737546870244
7,177,147,28,254,251,0.4654344065403636
7,177,147,28,254,252,0.47892981653979894
7,177,147,28,254,253,0.5134742360185072
7,177,147,28,254,254,0.5572383226552236
7,177,147,28,254,255,0.6423050180712606
7,177,147,28,254,256,0.6423050180712606
7,177,147,28,255,250,0.6566165203185947
7,177,147,28,255,251,0.7326483960679449
7,177,147,28,255,252,0.7490959802835879
7,177,147,28,255,253,0.7662934012045236
7,177,147,28,255,254,0.7732622105564013
7,177,147,28,255,255,0.8186247055735304
7,177,147,28,255,256,0.8186247055735304
7,177,147,28,256,250,0.6566165203185947
7,177,147,28,256,251,0.7326483960679449
7,177,147,28,256,252,0.7490959802835879
7,177,147,28,256,253,0.7662934012045236
7,177,147,28,256,254,0.7732622105564013
7,177,147,28,256,255,0.8186247055735304
7,177,147,28,256,256,0.8186247055735304
7,177,147,29,250,250,0.17633490739476387
7,177,147,29,250,251,0.17896673175741132
7,177,147,29,250,252,0.18303929747381265
7,177,147,29,250,253,0.19877909180555303
7,177,147,29,250,254,0.20057443151836135
7,177,147,29,250,255,0.22424430450135166
7,177,147,29,250,256,0.22424430450135166
7,177,147,29,251,250,0.2384965907087196
7,177,147,29,251,251,0.24154522110967364
7,177,147,29,251,252,0.25239651277830577
7,177,147,29,251,253,0.27939918291433924
7,177,147,29,251,254,0.2837164187888508
7,177,147,29,251,255,0.3458442984356499
7,177,147,29,251,256,0.3458442984356499
7,177,147,29,252,250,0.3207500947167049
7,177,147,29,252,251,0.32786744004387985
7,177,147,29,252,252,0.3922636303320002
7,177,147,29,252,253,0.4127605078827588
7,177,147,29,252,254,0.42395058549804476
7,177,147,29,252,255,0.5207957134293167
7,177,147,29,252,256,0.5207957134293167
7,177,147,29,253,250,0.35614393850541204
7,177,147,29,253,251,0.40231733108185497
7,177,147,29,253,252,0.4275761899859526
7,177,147,29,253,253,0.45743291589333274
7,177,147,29,253,254,0.4695042570629844
7,177,147,29,253,255,0.5925982893374163
7,177,147,29,253,256,0.5925982893374163
7,177,147,29,254,250,0.43572737546870244
7,177,147,29,254,251,0.4654344065403636
7,177,147,29,254,252,0.47892981653979894
7,177,147,29,254,253,0.5191733241644038
7,177,147,29,254,254,0.5664328515306034
7,177,147,29,254,255,0.6453445317490721
7,177,147,29,254,256,0.6453445317490721
7,177,147,29,255,250,0.6566165203185947
7,177,147,29,255,251,0.7326483960679449
7,177,147,29,255,252,0.7490959802835879
7,177,147,29,255,253,0.7719924893504203
7,177,147,29,255,254,0.7828746725624803
7,177,147,29,255,255,0.8459803286738342
7,177,147,29,255,256,0.8459803286738342
7,177,147,29,256,250,0.6566165203185947
7,177,147,29,256,251,0.7326483960679449
7,177,147,29,256,252,0.7490959802835879
7,177,147,29,256,253,0.7719924893504203
7,177,147,29,256,254,0.7828746725624803
7,177,147,29,256,255,0.8459803286738342
7,177,147,29,256,256,0.8459803286738342
